station_id,station_name,latitude,longitude,best_anchor,travel_time_minutes,transfers_count,assigned_population
oxford circus::51.5157::-0.142,Oxford Circus,51.5156556,-0.1420167,Oxford Circus,4.0,0.0,0.0
oxford circus::51.5157::-0.1418,Oxford Circus,51.5156576,-0.1417687,Oxford Circus,7.2145277419986344,0.0,0.0
oxford circus::51.5156::-0.1423,Oxford Circus,51.515625,-0.1422817,Oxford Circus,7.233126754250816,0.0,0.0
oxford circus::51.5155::-0.1408,Oxford Circus,51.5154617,-0.1408111,Oxford Circus,8.077060398920153,0.0,0.0
eastbound platform 2::51.5154::-0.1408,Eastbound Platform 2,51.515438,-0.1407801,Oxford Circus,8.111549579955561,0.0,0.0
oxford circus::51.5154::-0.1408,Oxford Circus,51.5153611,-0.1407785,Oxford Circus,8.14655439012475,0.0,0.0
westbound plaform 1::51.5154::-0.1408,Westbound Plaform 1,51.5153797,-0.1407555,Oxford Circus,8.15632980966139,0.0,0.0
piccadilly circus::51.5101::-0.1344,Piccadilly Circus,51.5100502,-0.1344313,Oxford Circus,9.188024895684805,0.0,0.0
piccadilly circus::51.51::-0.1344,Piccadilly Circus,51.5100143,-0.1344256,Oxford Circus,9.193867344560713,0.0,0.0
regent s park::51.5236::-0.1466,Regent's Park,51.5236375,-0.1466069,Oxford Circus,9.413518043085627,0.0,40890.88196790474
regent s park::51.5237::-0.1466,Regent's Park,51.5236665,-0.1465949,Oxford Circus,9.418385444835016,0.0,38709.71242557681
piccadilly circus::51.5099::-0.134,Piccadilly Circus,51.5098704,-0.1340143,Oxford Circus,9.602033832313545,0.0,0.0
piccadilly circus::51.5097::-0.1347,Piccadilly Circus,51.5097354,-0.1347361,Oxford Circus,9.66548483311059,0.0,0.0
warren street::51.5245::-0.139,Warren Street,51.5245087,-0.1390144,Oxford Circus,9.733605952156537,0.0,0.0
green park::51.5066::-0.1426,Green Park,51.5066493,-0.142581,Oxford Circus,9.744774762961203,0.0,0.0
warren street::51.5245::-0.1388,Warren Street,51.5244929,-0.1388072,Oxford Circus,9.774209878493442,0.0,0.0
bond street::51.5145::-0.1491,Bond Street,51.514454,-0.1491082,Oxford Circus,9.859364968054571,0.0,41192.27015084725
tottenham court road::51.5161::-0.1328,Tottenham Court Road,51.5161338,-0.1327997,Oxford Circus,9.882585603052583,0.0,0.0
green park::51.5057::-0.1415,Green Park,51.505721,-0.1415305,Oxford Circus,9.914567395592659,0.0,0.0
tottenham court road::51.5164::-0.131,Tottenham Court Road,51.5163847,-0.1309793,Oxford Circus,10.07266799989152,0.0,0.0
bond street::51.5146::-0.1496,Bond Street,51.5146419,-0.1496016,Oxford Circus,10.359716119163558,0.0,0.0
warren street::51.5245::-0.138,Warren Street,51.5245174,-0.1380159,Oxford Circus,10.459365423113113,0.0,0.0
green park::51.5061::-0.1414,Green Park,51.5061124,-0.1414112,Oxford Circus,10.468292672218723,0.0,0.0
green park::51.5072::-0.1419,Green Park,51.5071603,-0.1418986,Oxford Circus,10.668350493437263,0.0,0.0
warren street::51.5246::-0.1377,Warren Street,51.5246057,-0.1377493,Oxford Circus,10.702408243539939,0.0,0.0
tottenham court road::51.516::-0.1304,Tottenham Court Road,51.5160063,-0.1303793,Oxford Circus,10.811555235446768,0.0,0.0
charing cross::51.5075::-0.1283,Charing Cross,51.5075319,-0.1283355,Oxford Circus,10.831581471403638,0.0,0.0
northbound::51.5061::-0.1407,Northbound,51.5061021,-0.1406602,Oxford Circus,10.835163708793093,0.0,0.0
charing cross::51.5074::-0.1283,Charing Cross,51.5074191,-0.1283193,Oxford Circus,10.846916276013099,0.0,0.0
southbound::51.5063::-0.1406,Southbound,51.5062973,-0.1406244,Oxford Circus,11.035344250461272,0.0,0.0
marble arch::51.5134::-0.1581,Marble Arch,51.5133982,-0.1581495,Oxford Circus,11.065696341753434,0.0,40049.67999219379
leicester square::51.5115::-0.1276,Leicester Square,51.5115348,-0.1275681,Oxford Circus,11.204335454120972,0.0,0.0
green park::51.5077::-0.141,Green Park,51.5076664,-0.1410125,Oxford Circus,11.282902040611004,0.0,41937.68619391796
leicester square::51.5116::-0.1276,Leicester Square,51.5116078,-0.1276346,Oxford Circus,11.320973081481721,0.0,0.0
marble arch::51.5135::-0.1584,Marble Arch,51.5135178,-0.1583892,Oxford Circus,11.331449352003125,0.0,0.0
green park::51.5063::-0.1401,Green Park,51.5062958,-0.1401175,Oxford Circus,11.374934008956558,0.0,0.0
southbound platform 8::51.5232::-0.1573,Southbound Platform 8,51.5232466,-0.1572798,Oxford Circus,11.475513888304445,0.0,0.0
baker street::51.5231::-0.1575,Baker Street,51.5231217,-0.1575496,Oxford Circus,11.50335267067617,0.0,0.0
baker street::51.5232::-0.1576,Baker Street,51.5231568,-0.1575518,Oxford Circus,11.55217652956719,0.0,0.0
bond street::51.5156::-0.1499,Bond Street,51.5155716,-0.149889,Oxford Circus,11.553222628733694,0.0,0.0
euston::51.5284::-0.1328,Euston,51.5284457,-0.1327972,Oxford Circus,11.566622004468304,0.0,0.0
baker street::51.5233::-0.1574,Baker Street,51.5233342,-0.1573755,Oxford Circus,11.622737450700434,0.0,0.0
euston::51.5285::-0.1322,Euston,51.5285438,-0.1322216,Oxford Circus,11.654807751356364,0.0,0.0
great portland street::51.5238::-0.1439,Great Portland Street,51.5237975,-0.1438686,Oxford Circus,11.783124398001648,0.0,0.0
tottenham court road::51.5153::-0.1299,Tottenham Court Road,51.5153108,-0.1298795,Oxford Circus,11.842679718780424,0.0,0.0
baker street::51.523::-0.1569,Baker Street,51.5229821,-0.1569352,Oxford Circus,11.948770010813329,0.0,0.0
euston::51.5284::-0.1319,Euston,51.5284038,-0.131945,Oxford Circus,11.963146657974475,0.0,0.0
southbound platform 7::51.5236::-0.1574,Southbound Platform 7,51.5235995,-0.1574493,Oxford Circus,11.987457254231135,0.0,0.0
eastbound platform 2::51.5239::-0.1436,Eastbound Platform 2,51.5238927,-0.1436062,Oxford Circus,12.022078440707089,0.0,0.0
leicester square::51.5119::-0.1283,Leicester Square,51.5119071,-0.1283486,Oxford Circus,12.0549926832405,0.0,0.0
euston::51.5288::-0.1325,Euston,51.5287875,-0.1324887,Oxford Circus,12.064784491422204,0.0,39638.954746116506
westbound platform 1::51.5238::-0.1435,Westbound Platform 1,51.5238078,-0.1435412,Oxford Circus,12.066533792817152,0.0,0.0
northbound platform 10::51.5237::-0.1575,Northbound Platform 10,51.5236751,-0.1574956,Oxford Circus,12.099656622250317,0.0,0.0
goodge street::51.5205::-0.1344,Goodge Street,51.520515,-0.1343582,Oxford Circus,12.112831301870841,0.0,41616.13031362442
euston::51.5285::-0.1342,Euston,51.5285152,-0.1342045,Oxford Circus,12.12145563665671,0.0,39361.027801155695
leicester square::51.5119::-0.1285,Leicester Square,51.5118987,-0.1285118,Oxford Circus,12.164663267748212,0.0,42275.95776214617
baker street::51.5236::-0.158,Baker Street,51.5235506,-0.1580311,Oxford Circus,12.230526999003605,0.0,0.0
goodge street::51.5206::-0.1342,Goodge Street,51.5205525,-0.1342306,Oxford Circus,12.234878066147221,0.0,41941.264320290655
embankment::51.5066::-0.123,Embankment,51.5066338,-0.1229841,Oxford Circus,12.25851569026769,0.0,0.0
holborn::51.5177::-0.1193,Holborn,51.5176949,-0.119335,Oxford Circus,12.267587846503035,0.0,0.0
euston::51.5283::-0.134,Euston,51.5282784,-0.1340079,Oxford Circus,12.305643780686639,0.0,0.0
westbound platform 1::51.5176::-0.1193,Westbound Platform 1,51.5176254,-0.1192726,Oxford Circus,12.310091523624829,0.0,0.0
