station_id,station_name,latitude,longitude,best_anchor,travel_time_minutes,transfers_count,assigned_population
::35.682::139.765,東京,35.6820169,139.7650253,東京,4.0,0.0,0.0
::35.6819::139.765,東京,35.6819133,139.7649659,東京,7.158847886285164,0.0,0.0
::35.6821::139.7649,東京,35.6820503,139.764889,東京,7.160732744748408,0.0,0.0
::35.6819::139.7649,東京,35.6819138,139.764928,東京,7.180562975874317,0.0,0.0
::35.6868::139.7662,大手町,35.6867945,139.7662001,東京,8.706007039483069,0.0,0.0
::35.6728::139.7631,銀座,35.6727783,139.763111,東京,9.725596041577138,0.0,0.0
::35.6729::139.7631,銀座,35.6728947,139.7630946,東京,9.729928206980123,0.0,0.0
::35.6868::139.765,大手町,35.6867555,139.7650427,東京,10.013756650765792,0.0,0.0
::35.6866::139.765,大手町,35.6866391,139.7650155,東京,10.060671357113645,0.0,0.0
::35.6839::139.7628,大手町,35.6839383,139.7628105,東京,10.658499592588287,0.0,0.0
::35.684::139.7627,大手町,35.6839724,139.7626682,東京,10.803847710156862,0.0,0.0
::35.6846::139.7663,大手町,35.6845587,139.7663354,東京,10.830057834776488,0.0,0.0
::35.6847::139.7664,大手町,35.6846726,139.7663685,東京,10.990610230845721,0.0,0.0
::35.6721::139.7639,銀座,35.6721112,139.7639439,東京,11.046280386875154,0.0,0.0
::35.672::139.7639,銀座,35.6720411,139.7638504,東京,11.04732195179825,0.0,0.0
::35.6951::139.7675,淡路町,35.6951289,139.767457,東京,11.103657638619284,0.0,0.0
::35.6719::139.7641,銀座,35.671909,139.7640544,東京,11.336381323264836,0.0,0.0
::35.6803::139.7618,二重橋前〈丸の内〉,35.6803109,139.7617535,東京,11.389490706507324,0.0,0.0
::35.6803::139.7616,二重橋前〈丸の内〉,35.6803364,139.7616204,東京,11.498171552700882,0.0,340563.8643961449
::35.6868::139.7637,大手町,35.6867502,139.7637092,東京,11.518737369884679,0.0,0.0
::35.6868::139.7636,大手町,35.6867813,139.763575,東京,11.669622186583002,0.0,0.0
::35.685::139.7731,三越前,35.6850014,139.773095,東京,12.09249105825587,0.0,0.0
::35.6741::139.7529,霞ケ関,35.6741465,139.7528602,東京,12.13153580213284,0.0,0.0
::35.6849::139.7731,三越前,35.6848877,139.7731071,東京,12.14532186710078,0.0,0.0
::35.6743::139.7526,霞ケ関,35.6743328,139.7525813,東京,12.179392294672564,0.0,0.0
::35.6742::139.7529,霞ケ関,35.6742116,139.7529086,東京,12.237243024885798,0.0,0.0
::35.6949::139.7663,小川町,35.6948956,139.7663483,東京,12.3965026838101,0.0,0.0
